                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0524,                 3.0668,                  1.962,                0.15129,                0.22664,                0.13152,                0.05214,                 2.1249,                 3.3295,                 2.1797,             0.00041132,             0.00041132,             0.00041132
                      2,                 1.9631,                 2.5795,                 1.9551,                  0.319,                0.15832,                 0.1125,                0.04045,                 2.3885,                 3.2714,                 2.5059,             0.00081979,             0.00081979,             0.00081979
                      3,                 2.0207,                 2.6467,                 2.0547,                0.17544,                0.14832,                0.09645,                0.03532,                 2.4412,                 4.1895,                 2.7256,                0.00122,                0.00122,                0.00122
                      4,                 2.0369,                  2.642,                 2.0617,                0.21662,                 0.1673,                 0.0857,                0.03028,                 2.4751,                 4.4639,                 2.5715,              0.0012129,              0.0012129,              0.0012129
                      5,                  1.968,                  2.565,                 2.0437,                 0.1789,                0.29169,                0.16247,                0.06152,                  2.175,                 3.0948,                  2.305,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.9302,                 2.5546,                 1.9924,                 0.2205,                0.25105,                0.17877,                0.06931,                 2.1066,                 3.0885,                 2.2862,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.8775,                 2.4315,                 1.9721,                0.29107,                0.28914,                0.23063,                0.08235,                 2.0751,                 2.7501,                 2.2011,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.8641,                  2.374,                   1.97,                0.31949,                0.34722,                0.26838,                0.10204,                 2.0398,                 2.6783,                 2.1579,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.8578,                 2.3506,                  1.953,                0.34143,                0.27399,                0.24378,                0.09784,                 1.9943,                 2.5539,                 2.1647,               0.001151,               0.001151,               0.001151
                     10,                 1.8303,                  2.288,                 1.9293,                0.34123,                0.31805,                0.30403,                0.11916,                 2.0549,                 2.4208,                 2.1779,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.8148,                 2.2649,                 1.9007,                0.33503,                0.37016,                0.30092,                0.11375,                 2.0038,                 2.3051,                 2.1103,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.7756,                 2.1921,                 1.8943,                0.47443,                0.35634,                0.33081,                0.13309,                  2.031,                 2.3035,                 2.1295,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.7822,                 2.1698,                 1.8842,                0.36323,                0.37907,                0.34128,                0.13491,                 2.0139,                 2.2293,                 2.1216,              0.0011015,              0.0011015,              0.0011015
                     14,                  1.746,                 2.1266,                 1.8883,                0.37317,                0.42424,                0.37541,                0.14797,                 1.9932,                 2.2813,                 2.1004,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.7488,                 2.1253,                 1.8669,                0.40674,                0.40496,                0.34436,                0.13821,                 1.9781,                 2.3139,                  2.161,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.7056,                 1.9816,                 1.8233,                0.44914,                0.38543,                0.37812,                0.15565,                 2.0184,                 2.2001,                  2.144,              0.0010644,              0.0010644,              0.0010644
